type	href	text	kind	samehost	inscope
a	https://www.pingtan.gov.cn/		link	yes	no
a	https://www.gov.cn/	国务院	link	no	no
a	https://www.fujian.gov.cn/	省政府	link	no	no
a	https://www.fjrd.gov.cn/	省人大	link	no	no
a	http://www.fjzx.gov.cn/	省政协	link	no	no
a	https://www.pingtan.gov.cn/uc/indexs/index	你好，	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/tjxx/logoutUrl	注销	link	yes	yes
a	https://www.pingtan.gov.cn/	首页	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/	政务公开	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/	解读回应	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/	办事服务	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/	互动交流	link	yes	no
a	https://www.pingtan.gov.cn/zjpt/	走进平潭	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/zfxxgk/	政府信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ldzc/	领导之窗	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zzjg/	政府机构	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/	要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfhy/	政府会议	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zxwj/	最新文件	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zcwjk/	政策文件库	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfgzbg/	政府工作报告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/	公示公告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ghxx/	规划信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/rsxx/	人事信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/	统计信息	link	yes	yes
a	https://data.fujian.gov.cn/#/oportal/index	数据开放	link	no	no
a	https://www.pingtan.gov.cn/zwgk/zdlyxxgk/	重点领域信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/	专题专栏	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/zcjd/	平潭政策解读	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/xwfbh/	新闻发布会	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/hygq/	回应关切	link	yes	no
a	https://zwfw.fujian.gov.cn/indexMain?type=1&siteUnid=EC4BF9378FEEB8761D62BEDFF8EDE105	福建网上办事大厅	link	no	no
a	https://xzfwzx.pingtan.gov.cn/indexPage?loginflag=false	平潭行政服务中心	link	yes	no
a	https://www.fujian.gov.cn/bsfw/mztapp/	闽政通APP	link	no	no
a	https://www.pingtan.gov.cn/zjpt/cypt/	畅游平潭	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/ztfw/zwdt/	政务地图	link	yes	no
a	https://12345.pingtan.gov.cn/	12345便民惠企服务平台	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/zxft/	在线访谈	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/wsdc/	网上调查	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/myzj/	民意征集	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/hdjlzsk/	互动交流知识库	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/	进度数据	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/	更多&gt;	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202608/P020260825569749189625.pdf	平潭综合实验区2026年7月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202607/P020260726602848117935.pdf	平潭综合实验区2026年6月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202606/P020260623590069592249.pdf	平潭综合实验区2026年5月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202606/P020260622362786612207.doc	平潭综合实验区2025年城镇非私营单位 就业人员年平均工资113900元	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202605/P020260526623858777378.pdf	平潭综合实验区2026年4月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202604/P020260427411405523964.pdf	平潭综合实验区2026年3月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202603/P020260325340655943941.pdf	平潭综合实验区2026年2月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202601/P020260129306014953899.pdf	平潭综合实验区2025年12月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202512/P020251224616979492832.pdf	平潭综合实验区2025年11月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/jdsj/202511/P020251121610807400914.pdf	平潭综合实验区2025年10月国民经济主要指标	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/	统计公报	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/	更多&gt;	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202604/P020260429614092103189.doc	2025年平潭综合实验区国民经济和社会发展统计公报	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202510/P020251009417078605604.doc	2024年平潭综合实验区国民经济和社会发展统计公报	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202504/P020250430375413657066.docx	平潭综合实验区第五次全国经济普查公报（第六号）——部分新兴产业发展情况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202504/P020250430374306402405.docx	平潭综合实验区第五次全国经济普查公报（第五号）——第三产业基本情况之二	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202504/P020250430373056714670.docx	平潭综合实验区第五次全国经济普查公报（第四号）——第三产业基本情况之一	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202504/P020250430371377989042.docx	平潭综合实验区第五次全国经济普查公报（第三号）——第二产业基本情况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202504/P020250430370364430683.docx	平潭综合实验区第五次全国经济普查公报（第二号）——单位基本情况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202504/P020250430368103136309.docx	平潭综合实验区第五次全国经济普查公报（第一号）——平潭综合实验区第五次全国经济普查顺利完成	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202404/P020240408593995462054.pdf	2023年平潭综合实验区国民经济和社会发展统计公报	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjgb/202303/t20230329_45221.htm	2022年平潭综合实验区国民经济和社会发展统计公报	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjnj/	统计年鉴	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjnj/	更多&gt;	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjnj/202601/P020260113391333909432.pdf	平潭统计年鉴2025	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjnj/202412/P020241219531612435781.pdf	平潭统计年鉴2024	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjnj/202312/P020231220619451201456.pdf	平潭统计年鉴2023	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/tjnj/202312/P020231206375157226649.pdf	平潭统计年鉴2022	file	yes	yes
a	https://www.pingtan.gov.cn/attachFiles/myfile/DATE_20221110/40280252845f570401845f5d1cfd0007.pdf	平潭统计年鉴2021	file	yes	no
a	https://www.pingtan.gov.cn/attachFiles/myfile/DATE_20221110/40280252845f570401845f5b9d070005.pdf	平潭统计年鉴2020	file	yes	no
a	https://www.pingtan.gov.cn/attachFiles/myfile/DATE_20221110/40280252845f570401845f5a817c0003.pdf	平潭统计年鉴2019	file	yes	no
a	https://www.pingtan.gov.cn/attachFiles/myfile/DATE_20221110/40280252845f570401845f5704250001.pdf	平潭统计年鉴2018	file	yes	no
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/	数据图解	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/	更多&gt;	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202607/P020260724619696796527.docx	2026年上半年平潭经济运行简况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202604/P020260427412650502298.docx	2026年一季度平潭经济运行简况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202601/P020260129312202155232.docx	2025年全年平潭经济运行简况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202510/P020251028614566395294.docx	2025年前三季度平潭经济运行简况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202507/P020250724343253451835.docx	2025年上半年平潭经济运行简况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202504/P020250428338575424191.docx	2025年第一季度平潭经济运行简况	file	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202501/t20250124_96906.htm	2024年全年平潭经济运行简况	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202410/P020241025545403345676.jpg	2024年前三季度平潭经济运行简况	image	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202407/t20240724_92154.htm	2024年上半年平潭经济运行简况	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/sjtj/202404/t20240425_89447.htm	2024年第一季度平潭经济运行简况	link	yes	yes
a	http://www.fj.gov.cn/	福建省人民政府	link	no	no
a	https://www.fuzhou.gov.cn/	福州市政府网站	link	no	no
a	http://www.xm.gov.cn/	厦门市政府网站	link	no	no
a	http://www.quanzhou.gov.cn/	泉州市政府网站	link	no	no
a	http://www.zhangzhou.gov.cn/	漳州市政府网站	link	no	no
a	https://www.putian.gov.cn/	莆田市政府网站	link	no	no
a	https://www.sm.gov.cn/	三明市政府网站	link	no	no
a	https://www.np.gov.cn/	南平市政府网站	link	no	no
a	http://www.longyan.gov.cn/	龙岩市政府网站	link	no	no
a	http://www.ningde.gov.cn/	宁德市政府网站	link	no	no
a	http://www.people.com.cn/	人民网	link	no	no
a	http://www.xinhuanet.com/	新华网	link	no	no
a	https://www.chinanews.com.cn/	中国新闻网	link	no	no
a	https://www.cctv.com/	央视国际	link	no	no
a	https://www.ptnet.cn/	平潭网	link	no	no
a	http://fjptq.wenming.cn/	平潭文明网	link	no	no
a	http://www.acas.org.cnx7a72967733868.ipv6best.cn/	海峡两岸仲裁中心	link	no	no
a	http://fujian.chinatax.gov.cn/pingtanswj/	国家税务总局平潭综合实验区税务局	link	no	no
a	http://pt.fjbz.org.cnx1e49967733868.ipv6best.cn:8060/	福建省标准信息服务平台	link	no	no
a	http://paper.people.com.cn/rmrb/html/2023-11/02/nbs.D110000renmrb_01.htm	人民日报	link	no	no
a	https://fjrb-fjdaily-comx2d93967733868xx.ipv6best.cn/pc/col/202311/02/node_01.html	福建日报	link	no	no
a	http://www.zznews.cn/	闽南日报	link	no	no
a	https://mbrb.greatwuyi.com/202311/02/node_1.html	闽北日报	link	no	no
a	http://www.mxrb.cn/	闽西日报	link	no	no
a	http://www.ndwww.cn/	闽东日报	link	no	no
a	https://www.qzwb.com/	泉州晚报	link	no	no
a	http://smrb.smnet.com.cn/pc/layout/202311/02/node_1.html	三明日报	link	no	no
a	http://www.taihainet.com/	海峡导报	link	no	no
a	http://fj.sina.com.cn/	新浪福建	link	no	no
a	https://www.163.com/	网易	link	no	no
a	https://www.sohu.com/	搜狐	link	no	no
a	https://www.creditchina.gov.cn/	信用中国	link	no	no
a	https://xy.fujian.gov.cn/#/home	信用福建	link	no	no
a	https://27-151-80-61xe076967733868xx.ipv6best.cn:91/#/double-publicity-info	信用平潭	link	no	no
a	https://credit-xm-gov-cnxd4a4967733868xx.ipv6best.cn/	信用厦门	link	no	no
a	http://www.szzg.gov.cn/	数字中国建设峰会	link	no	no
a	http://www.hxrc.com/	中国海峡人才市场	link	no	no
a	https://www.pingtan.gov.cn/zwzdb/sybz/	使用帮助	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/lxwm/	联系我们	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/ysbh/	隐私保护	link	yes	no
