type	href	text	kind	samehost	inscope
a	https://www.pingtan.gov.cn/		link	yes	no
a	https://www.gov.cn/	国务院	link	no	no
a	https://www.fujian.gov.cn/	省政府	link	no	no
a	https://www.fjrd.gov.cn/	省人大	link	no	no
a	http://www.fjzx.gov.cn/	省政协	link	no	no
a	https://www.pingtan.gov.cn/uc/indexs/index	你好，	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/gsgg/202309/logoutUrl	注销	link	yes	yes
a	https://www.pingtan.gov.cn/	首页	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/	政务公开	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/	解读回应	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/	办事服务	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/	互动交流	link	yes	no
a	https://www.pingtan.gov.cn/zjpt/	走进平潭	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/zfxxgk/	政府信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ldzc/	领导之窗	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zzjg/	政府机构	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/	要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfhy/	政府会议	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zxwj/	最新文件	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zcwjk/	政策文件库	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfgzbg/	政府工作报告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/	公示公告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ghxx/	规划信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/rsxx/	人事信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/	统计信息	link	yes	yes
a	https://data.fujian.gov.cn/#/oportal/index	数据开放	link	no	no
a	https://www.pingtan.gov.cn/zwgk/zdlyxxgk/	重点领域信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/	专题专栏	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/zcjd/	平潭政策解读	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/xwfbh/	新闻发布会	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/hygq/	回应关切	link	yes	no
a	https://zwfw.fujian.gov.cn/indexMain?type=1&siteUnid=EC4BF9378FEEB8761D62BEDFF8EDE105	福建网上办事大厅	link	no	no
a	https://xzfwzx.pingtan.gov.cn/indexPage?loginflag=false	平潭行政服务中心	link	yes	no
a	https://www.fujian.gov.cn/bsfw/mztapp/	闽政通APP	link	no	no
a	https://www.pingtan.gov.cn/zjpt/cypt/	畅游平潭	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/ztfw/zwdt/	政务地图	link	yes	no
a	https://12345.pingtan.gov.cn/	12345便民惠企服务平台	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/zxft/	在线访谈	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/wsdc/	网上调查	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/myzj/	民意征集	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/hdjlzsk/	互动交流知识库	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/gsgg/202309/share.sina	微博	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/202309/share.qzone	QQ空间	link	yes	yes
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914160311249.doc	2023年平潭综合实验区产品质量监督抽查实施细则-车用柴油.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914160348789.doc	2023年平潭综合实验区产品质量监督抽查实施细则-车用汽油.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914160409799.doc	2023年平潭综合实验区产品质量监督抽查实施细则-电动助力车用阀控式铅酸蓄电池.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162001582.doc	2023年平潭综合实验区产品质量监督抽查实施细则-电动自行车充电器.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162034472.doc	2023年平潭综合实验区产品质量监督抽查实施细则-电线电缆.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162053264.doc	2023年平潭综合实验区产品质量监督抽查实施细则-断路器.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162219218.doc	2023年平潭综合实验区产品质量监督抽查实施细则-复合肥料.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162246426.doc	2023年平潭综合实验区产品质量监督抽查实施细则-给水用硬聚氯乙烯(PVC-U)管材管件.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162312678.doc	2023年平潭综合实验区产品质量监督抽查实施细则-海洋养殖塑料渔排产品.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162405133.doc	2023年平潭综合实验区产品质量监督抽查实施细则-机油.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162438790.doc	2023年平潭综合实验区产品质量监督抽查实施细则-家用和类似用途插头插座.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162635917.doc	2023年平潭综合实验区产品质量监督抽查实施细则-家用和类似用途固定式电气装置的开关.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162649621.doc	2023年平潭综合实验区产品质量监督抽查实施细则-家用杀虫用品.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162701724.doc	2023年平潭综合实验区产品质量监督抽查实施细则-内墙涂料.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162713452.doc	2023年平潭综合实验区产品质量监督抽查实施细则-农用薄膜.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162733841.doc	2023年平潭综合实验区产品质量监督抽查实施细则-汽车用制动器衬片.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162748874.doc	2023年平潭综合实验区产品质量监督抽查实施细则-食品用洗涤剂.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162800181.doc	2023年平潭综合实验区产品质量监督抽查实施细则—室内消火栓.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162902356.doc	2023年平潭综合实验区产品质量监督抽查实施细则—卫生洁具及暖气管道用角阀.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162914557.doc	2023年平潭综合实验区产品质量监督抽查实施细则—消防接口.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162924611.doc	2023年平潭综合实验区产品质量监督抽查实施细则—消防水泵接合器.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914162943989.doc	2023年平潭综合实验区产品质量监督抽查实施细则—消防水枪.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163001275.doc	2023年平潭综合实验区产品质量监督抽查实施细则-小功率电动机.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163050881.doc	2023年平潭综合实验区产品质量监督抽查实施细则-有机肥.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163109521.doc	2023年平潭综合实验区电蚊拍产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163123321.doc	2023年平潭综合实验区定配眼镜产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163139787.doc	2023年平潭综合实验区固定式灯具产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163159951.doc	2023年平潭综合实验区皮肤及毛发护理器产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163214352.doc	2023年平潭综合实验区燃气灶具及配件产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163235361.doc	2023年平潭综合实验区日用塑料制品产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163250666.doc	2023年平潭综合实验区塑料购物袋产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163309788.doc	2023年平潭综合实验区童车产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163327204.doc	2023年平潭综合实验区头盔产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163405828.doc	2023年平潭综合实验区玩具产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163416269.doc	2023年平潭综合实验区学生文具产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163430995.doc	2023年平潭综合实验区延长线插座产品质量监督抽查实施细则.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163503556.doc	平潭综合实验区市场监督管理局2023年产品质量监督抽检实施细则-纺织品（毛巾、服饰）.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163519880.doc	平潭综合实验区市场监督管理局2023年产品质量监督抽检实施细则-服装（运动服装、T恤、儿童及婴幼儿服装）.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163532458.doc	平潭综合实验区市场监督管理局2023年产品质量监督抽检实施细则-鞋类（旅游鞋、童鞋）.doc	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2023/09/14/20230914163542888.doc	平潭综合实验区市场监督管理局2023年产品质量监督抽检实施细则-纸制品（纸巾纸、卫生巾、卫生护垫、成人纸尿裤、儿童纸尿裤）.doc	file	yes	no
a	https://www.pingtan.gov.cn/zwgk/gsgg/202309/el.url		link	yes	yes
a	http://www.fj.gov.cn/	福建省人民政府	link	no	no
a	https://www.fuzhou.gov.cn/	福州市政府网站	link	no	no
a	http://www.xm.gov.cn/	厦门市政府网站	link	no	no
a	http://www.quanzhou.gov.cn/	泉州市政府网站	link	no	no
a	http://www.zhangzhou.gov.cn/	漳州市政府网站	link	no	no
a	https://www.putian.gov.cn/	莆田市政府网站	link	no	no
a	https://www.sm.gov.cn/	三明市政府网站	link	no	no
a	https://www.np.gov.cn/	南平市政府网站	link	no	no
a	http://www.longyan.gov.cn/	龙岩市政府网站	link	no	no
a	http://www.ningde.gov.cn/	宁德市政府网站	link	no	no
a	http://www.people.com.cn/	人民网	link	no	no
a	http://www.xinhuanet.com/	新华网	link	no	no
a	https://www.chinanews.com.cn/	中国新闻网	link	no	no
a	https://www.cctv.com/	央视国际	link	no	no
a	https://www.ptnet.cn/	平潭网	link	no	no
a	http://fjptq.wenming.cn/	平潭文明网	link	no	no
a	http://www.acas.org.cnx7a72966ba3868.ipv6best.cn/	海峡两岸仲裁中心	link	no	no
a	http://fujian.chinatax.gov.cn/pingtanswj/	国家税务总局平潭综合实验区税务局	link	no	no
a	http://pt.fjbz.org.cnx1e49966ba3868.ipv6best.cn:8060/	福建省标准信息服务平台	link	no	no
