type	href	text	kind	samehost	inscope
a	https://www.pingtan.gov.cn/		link	yes	no
a	https://www.gov.cn/	国务院	link	no	no
a	https://www.fujian.gov.cn/	省政府	link	no	no
a	https://www.fjrd.gov.cn/	省人大	link	no	no
a	http://www.fjzx.gov.cn/	省政协	link	no	no
a	https://www.pingtan.gov.cn/uc/indexs/index	你好，	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202307/logoutUrl	注销	link	yes	yes
a	https://www.pingtan.gov.cn/	首页	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/	政务公开	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/	解读回应	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/	办事服务	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/	互动交流	link	yes	no
a	https://www.pingtan.gov.cn/zjpt/	走进平潭	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/zfxxgk/	政府信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ldzc/	领导之窗	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zzjg/	政府机构	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/	要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfhy/	政府会议	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zxwj/	最新文件	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zcwjk/	政策文件库	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfgzbg/	政府工作报告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/	公示公告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ghxx/	规划信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/rsxx/	人事信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/	统计信息	link	yes	yes
a	https://data.fujian.gov.cn/#/oportal/index	数据开放	link	no	no
a	https://www.pingtan.gov.cn/zwgk/zdlyxxgk/	重点领域信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/	专题专栏	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/zcjd/	平潭政策解读	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/xwfbh/	新闻发布会	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/hygq/	回应关切	link	yes	no
a	https://zwfw.fujian.gov.cn/indexMain?type=1&siteUnid=EC4BF9378FEEB8761D62BEDFF8EDE105	福建网上办事大厅	link	no	no
a	https://xzfwzx.pingtan.gov.cn/indexPage?loginflag=false	平潭行政服务中心	link	yes	no
a	https://www.fujian.gov.cn/bsfw/mztapp/	闽政通APP	link	no	no
a	https://www.pingtan.gov.cn/zjpt/cypt/	畅游平潭	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/ztfw/zwdt/	政务地图	link	yes	no
a	https://12345.pingtan.gov.cn/	12345便民惠企服务平台	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/zxft/	在线访谈	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/wsdc/	网上调查	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/myzj/	民意征集	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/hdjlzsk/	互动交流知识库	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/	平潭要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202307/share.sina	微博	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202307/share.qzone	QQ空间	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202307/el.url		link	yes	yes
a	http://www.fj.gov.cn/	福建省人民政府	link	no	no
a	https://www.fuzhou.gov.cn/	福州市政府网站	link	no	no
a	http://www.xm.gov.cn/	厦门市政府网站	link	no	no
a	http://www.quanzhou.gov.cn/	泉州市政府网站	link	no	no
a	http://www.zhangzhou.gov.cn/	漳州市政府网站	link	no	no
a	https://www.putian.gov.cn/	莆田市政府网站	link	no	no
a	https://www.sm.gov.cn/	三明市政府网站	link	no	no
a	https://www.np.gov.cn/	南平市政府网站	link	no	no
a	http://www.longyan.gov.cn/	龙岩市政府网站	link	no	no
a	http://www.ningde.gov.cn/	宁德市政府网站	link	no	no
a	http://www.people.com.cn/	人民网	link	no	no
a	http://www.xinhuanet.com/	新华网	link	no	no
a	https://www.chinanews.com.cn/	中国新闻网	link	no	no
a	https://www.cctv.com/	央视国际	link	no	no
a	https://www.ptnet.cn/	平潭网	link	no	no
a	http://fjptq.wenming.cn/	平潭文明网	link	no	no
a	http://www.acas.org.cnx7a72967d83868.ipv6best.cn/	海峡两岸仲裁中心	link	no	no
a	http://fujian.chinatax.gov.cn/pingtanswj/	国家税务总局平潭综合实验区税务局	link	no	no
a	http://pt.fjbz.org.cnx1e49967d83868.ipv6best.cn:8060/	福建省标准信息服务平台	link	no	no
a	http://paper.people.com.cn/rmrb/html/2023-11/02/nbs.D110000renmrb_01.htm	人民日报	link	no	no
a	https://fjrb-fjdaily-comx2d93967d83868xx.ipv6best.cn/pc/col/202311/02/node_01.html	福建日报	link	no	no
a	http://www.zznews.cn/	闽南日报	link	no	no
a	https://mbrb.greatwuyi.com/202311/02/node_1.html	闽北日报	link	no	no
a	http://www.mxrb.cn/	闽西日报	link	no	no
a	http://www.ndwww.cn/	闽东日报	link	no	no
a	https://www.qzwb.com/	泉州晚报	link	no	no
a	http://smrb.smnet.com.cn/pc/layout/202311/02/node_1.html	三明日报	link	no	no
a	http://www.taihainet.com/	海峡导报	link	no	no
a	http://fj.sina.com.cn/	新浪福建	link	no	no
a	https://www.163.com/	网易	link	no	no
a	https://www.sohu.com/	搜狐	link	no	no
a	https://www.creditchina.gov.cn/	信用中国	link	no	no
a	https://xy.fujian.gov.cn/#/home	信用福建	link	no	no
a	https://27-151-80-61xe076967d83868xx.ipv6best.cn:91/#/double-publicity-info	信用平潭	link	no	no
a	https://credit-xm-gov-cnxd4a4967d83868xx.ipv6best.cn/	信用厦门	link	no	no
a	http://www.szzg.gov.cn/	数字中国建设峰会	link	no	no
a	http://www.hxrc.com/	中国海峡人才市场	link	no	no
a	https://www.pingtan.gov.cn/zwzdb/sybz/	使用帮助	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/lxwm/	联系我们	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/ysbh/	隐私保护	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/xmtjz/	新媒体矩阵	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/gywm/	关于我们	link	yes	no
a	https://www-beian-gov-cnx45c8967d83868xx.ipv6best.cn/portal/registerSystemInfo?recordcode=35012899001-19002	公安备案号：35012899001-19002	link	no	no
a	https://beian.miit.gov.cn/	闽ICP备09032658号	link	no	no
a	https://bszs-conac-cnxe103967d83868xx.ipv6best.cn/sitename?method=show&amp;id=21E2BB13660E0D66E053012819ACFD9D		link	no	no
img	https://www.pingtan.gov.cn/images/gh_logo.png		image	yes	no
img	https://www.pingtan.gov.cn/images/site_logo.png		image	yes	no
img	https://www.pingtan.gov.cn/images/20xmszf_mzt_ewm.png		image	yes	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_175eddb8-7a83-41e5-9ba6-6c68d84c11cb.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_c2720a6a-1990-4761-b286-c6c827e8c2e6.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_b72824dc-7554-46f8-a13c-40026b89ce30.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_370da78d-9f34-48ee-949a-c7d440f95f53.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_3fdded1e-9e81-4621-9cf6-9c19ed295391.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_5b532197-a15f-4d7a-b904-8afb60e94426.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_6ffd1f9b-778f-4200-956d-c5c7efc5c1ba.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_c7d5c798-7488-4d06-a02a-adbc63e8d517.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_b0b2a0e7-19cd-479a-a56a-c388544b4f62.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_1aadfa7b-ccd9-4efc-95c7-e197d7226378.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_d343e08d-eba8-45c3-b774-9dfb0e617731.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_3e092124-9180-4ae1-972b-7ddd34b15401.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_93626572-19fd-4cc3-b9d3-d8dee7365599.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_e6c92ddd-d320-4497-840f-97d6e1f942d6.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_e2629f42-dbf2-49b5-a46e-5121ec466a4b.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_e794bde4-b19b-4a04-b3e7-861368cbe689.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_d60eeabe-3c7a-4193-b5b5-53a458362b51.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_171cf64a-5b8d-4a98-a35c-9528db52613d.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_bf873407-b85e-4a69-9db5-49306d093c38.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_4b46df74-03c5-40f4-b8a3-798f69d1bab2.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_d6fc3410-cc7d-4c48-a9fa-5c8a425e8358.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_054def47-d95b-4d68-99d8-fdb2c0ef8596.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_9cad4dee-cafb-410c-921e-b87ee53c3f6f.gif	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_db890134-e75c-4e4e-bcc3-c036efa6e3a7.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_438a452e-e322-4d03-88d2-0b4440bc2d42.gif	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_4c6fffa1-facd-462a-bc6d-98b3d0bf33ae.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_7a559188-05de-4ae2-a342-85f6b0b90a39.png	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_d8ba0cf1-a803-49dd-9df0-9e6369b1232a.jpg	2cca4c27ba17beb1810cb1eca3b4a5a3_640_wx_fmt=jpeg&amp;wxfrom=5&amp;wx_lazy=1&amp;wx_co=1.jpg	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_59ce591c-be42-47a0-ad4e-04cd2eeec56c.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_4d472e28-af60-4439-bc46-ddcebb586453.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_7ca323cb-5fc1-49ad-afe1-8fe849ef6679.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_3f44807e-0b03-4e3e-864e-b9612937c4ef.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2023-07/15/2055263_959f5f40-26ae-4349-bb32-a296e0b89cf6.jpg	图片	image	no	no
img	https://www.pingtan.gov.cn/images/babs.png		image	yes	no
img	https://www.pingtan.gov.cn/images/20231118ptfb.jpg	平潭发布	image	yes	no
img	https://www.pingtan.gov.cn/images/20231118ptt.png	平潭通	image	yes	no
img	https://www.pingtan.gov.cn/images/foot-icon4.png		image	yes	no
img	https://www.pingtan.gov.cn/images/foot-icon4-a.png	平潭文旅	image	yes	no
img	https://www.pingtan.gov.cn/images/20231119ptVly.jpg		image	yes	no
img	https://www.pingtan.gov.cn/images/red.png	党政机关	image	yes	no
img	https://www.pingtan.gov.cn/images/img11.png		image	yes	no
