type	href	text	kind	samehost	inscope
a	https://www.pingtan.gov.cn/		link	yes	no
a	https://www.gov.cn/	国务院	link	no	no
a	https://www.fujian.gov.cn/	省政府	link	no	no
a	https://www.fjrd.gov.cn/	省人大	link	no	no
a	http://www.fjzx.gov.cn/	省政协	link	no	no
a	https://www.pingtan.gov.cn/uc/indexs/index	你好，	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202402/logoutUrl	注销	link	yes	yes
a	https://www.pingtan.gov.cn/	首页	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/	政务公开	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/	解读回应	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/	办事服务	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/	互动交流	link	yes	no
a	https://www.pingtan.gov.cn/zjpt/	走进平潭	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/zfxxgk/	政府信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ldzc/	领导之窗	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zzjg/	政府机构	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/	要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfhy/	政府会议	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zxwj/	最新文件	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zcwjk/	政策文件库	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfgzbg/	政府工作报告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/	公示公告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ghxx/	规划信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/rsxx/	人事信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/	统计信息	link	yes	yes
a	https://data.fujian.gov.cn/#/oportal/index	数据开放	link	no	no
a	https://www.pingtan.gov.cn/zwgk/zdlyxxgk/	重点领域信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/	专题专栏	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/zcjd/	平潭政策解读	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/xwfbh/	新闻发布会	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/hygq/	回应关切	link	yes	no
a	https://zwfw.fujian.gov.cn/indexMain?type=1&siteUnid=EC4BF9378FEEB8761D62BEDFF8EDE105	福建网上办事大厅	link	no	no
a	https://xzfwzx.pingtan.gov.cn/indexPage?loginflag=false	平潭行政服务中心	link	yes	no
a	https://www.fujian.gov.cn/bsfw/mztapp/	闽政通APP	link	no	no
a	https://www.pingtan.gov.cn/zjpt/cypt/	畅游平潭	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/ztfw/zwdt/	政务地图	link	yes	no
a	https://12345.pingtan.gov.cn/	12345便民惠企服务平台	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/zxft/	在线访谈	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/wsdc/	网上调查	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/myzj/	民意征集	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/hdjlzsk/	互动交流知识库	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/	平潭要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202402/share.sina	微博	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202402/share.qzone	QQ空间	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202402/el.url		link	yes	yes
a	http://www.fj.gov.cn/	福建省人民政府	link	no	no
a	https://www.fuzhou.gov.cn/	福州市政府网站	link	no	no
a	http://www.xm.gov.cn/	厦门市政府网站	link	no	no
a	http://www.quanzhou.gov.cn/	泉州市政府网站	link	no	no
a	http://www.zhangzhou.gov.cn/	漳州市政府网站	link	no	no
a	https://www.putian.gov.cn/	莆田市政府网站	link	no	no
a	https://www.sm.gov.cn/	三明市政府网站	link	no	no
a	https://www.np.gov.cn/	南平市政府网站	link	no	no
a	http://www.longyan.gov.cn/	龙岩市政府网站	link	no	no
a	http://www.ningde.gov.cn/	宁德市政府网站	link	no	no
a	http://www.people.com.cn/	人民网	link	no	no
a	http://www.xinhuanet.com/	新华网	link	no	no
a	https://www.chinanews.com.cn/	中国新闻网	link	no	no
a	https://www.cctv.com/	央视国际	link	no	no
a	https://www.ptnet.cn/	平潭网	link	no	no
a	http://fjptq.wenming.cn/	平潭文明网	link	no	no
a	http://www.acas.org.cnx7a72967c93868.ipv6best.cn/	海峡两岸仲裁中心	link	no	no
a	http://fujian.chinatax.gov.cn/pingtanswj/	国家税务总局平潭综合实验区税务局	link	no	no
a	http://pt.fjbz.org.cnx1e49967c93868.ipv6best.cn:8060/	福建省标准信息服务平台	link	no	no
a	http://paper.people.com.cn/rmrb/html/2023-11/02/nbs.D110000renmrb_01.htm	人民日报	link	no	no
a	https://fjrb-fjdaily-comx2d93967c93868xx.ipv6best.cn/pc/col/202311/02/node_01.html	福建日报	link	no	no
a	http://www.zznews.cn/	闽南日报	link	no	no
a	https://mbrb.greatwuyi.com/202311/02/node_1.html	闽北日报	link	no	no
a	http://www.mxrb.cn/	闽西日报	link	no	no
a	http://www.ndwww.cn/	闽东日报	link	no	no
a	https://www.qzwb.com/	泉州晚报	link	no	no
a	http://smrb.smnet.com.cn/pc/layout/202311/02/node_1.html	三明日报	link	no	no
a	http://www.taihainet.com/	海峡导报	link	no	no
a	http://fj.sina.com.cn/	新浪福建	link	no	no
a	https://www.163.com/	网易	link	no	no
a	https://www.sohu.com/	搜狐	link	no	no
a	https://www.creditchina.gov.cn/	信用中国	link	no	no
a	https://xy.fujian.gov.cn/#/home	信用福建	link	no	no
a	https://27-151-80-61xe076967c93868xx.ipv6best.cn:91/#/double-publicity-info	信用平潭	link	no	no
a	https://credit-xm-gov-cnxd4a4967c93868xx.ipv6best.cn/	信用厦门	link	no	no
a	http://www.szzg.gov.cn/	数字中国建设峰会	link	no	no
a	http://www.hxrc.com/	中国海峡人才市场	link	no	no
a	https://www.pingtan.gov.cn/zwzdb/sybz/	使用帮助	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/lxwm/	联系我们	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/ysbh/	隐私保护	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/xmtjz/	新媒体矩阵	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/gywm/	关于我们	link	yes	no
a	https://www-beian-gov-cnx45c8967c93868xx.ipv6best.cn/portal/registerSystemInfo?recordcode=35012899001-19002	公安备案号：35012899001-19002	link	no	no
a	https://beian.miit.gov.cn/	闽ICP备09032658号	link	no	no
a	https://bszs-conac-cnxe103967c93868xx.ipv6best.cn/sitename?method=show&amp;id=21E2BB13660E0D66E053012819ACFD9D		link	no	no
img	https://www.pingtan.gov.cn/images/gh_logo.png		image	yes	no
img	https://www.pingtan.gov.cn/images/site_logo.png		image	yes	no
img	https://www.pingtan.gov.cn/images/20xmszf_mzt_ewm.png		image	yes	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_b5c34899-d04a-4501-9584-12c1eb6e3701.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_f3b6dd99-2bcf-4898-96e5-76d7dda1c440.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_2b505b50-8e30-444c-bce9-8c3912ddb88f.gif		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_c0f14753-5797-4b5c-810c-6447bd6e3f8c.gif		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_f56bab8e-c5b1-4d3f-9ac1-ef5fa84a5ae3.gif		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_8b6afc21-d6c0-441b-a768-d8c3407ae0ab.gif		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_94670828-a2ee-4af1-8708-abb767627d42.png		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_86691a6c-2c29-4109-bc23-16063dd179cc.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_f25d0f15-470b-4b29-93d1-aaf7e1378924.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_fd0955be-ad8d-4d0d-9ec3-3baa9d83cb2c.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_e73d38e2-49b3-4dd0-85ad-cab01b42b1c6.gif		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_06067c9e-4142-4358-b672-4c1dcb41348d.gif		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_f3425982-e23a-4eb5-90ab-43ad1aa172b1.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_296c4db0-b5cb-425f-a0dc-aa4f843476b7.gif		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_9f7161e2-d535-442d-84b1-6a8fbd527979.gif		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_b3011eda-268b-4bd0-90bf-a8ac89236c39.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_82e4ba69-027b-4d57-be46-af9d46fb011e.png		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_5d290d97-d037-4292-b563-148e8016bcf5.png		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_ec2af800-bc0a-499b-a7e1-86a1562dfae2.png		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_aa3247ad-7614-4f9f-a149-a21903560959.png		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_69e77b97-ae4a-4c34-87d2-0fa3e7c8e96d.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_e97ac0cb-ad4e-4beb-ba77-26fcd3ff5dfa.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_9a6312bd-cdfe-4ad8-979e-be9eb741e12e.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_08f8d473-adac-4bdd-a5d0-e4ef28f441e0.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_89a1fe0b-9857-4c3e-91c8-10b16bd1ab9c.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-02/08/2070765_0b475ce1-df1c-4e9c-8037-21ddece21432.jpg		image	no	no
img	https://www.pingtan.gov.cn/images/babs.png		image	yes	no
img	https://www.pingtan.gov.cn/images/20231118ptfb.jpg	平潭发布	image	yes	no
img	https://www.pingtan.gov.cn/images/20231118ptt.png	平潭通	image	yes	no
img	https://www.pingtan.gov.cn/images/foot-icon4.png		image	yes	no
img	https://www.pingtan.gov.cn/images/foot-icon4-a.png	平潭文旅	image	yes	no
img	https://www.pingtan.gov.cn/images/20231119ptVly.jpg		image	yes	no
img	https://www.pingtan.gov.cn/images/red.png	党政机关	image	yes	no
img	https://www.pingtan.gov.cn/images/img11.png		image	yes	no
