type	href	text	kind	samehost	inscope
a	https://www.pingtan.gov.cn/		link	yes	no
a	https://www.gov.cn/	国务院	link	no	no
a	https://www.fujian.gov.cn/	省政府	link	no	no
a	https://www.fjrd.gov.cn/	省人大	link	no	no
a	http://www.fjzx.gov.cn/	省政协	link	no	no
a	https://www.pingtan.gov.cn/uc/indexs/index	你好，	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202403/logoutUrl	注销	link	yes	yes
a	https://www.pingtan.gov.cn/	首页	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/	政务公开	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/	解读回应	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/	办事服务	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/	互动交流	link	yes	no
a	https://www.pingtan.gov.cn/zjpt/	走进平潭	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/zfxxgk/	政府信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ldzc/	领导之窗	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zzjg/	政府机构	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/	要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfhy/	政府会议	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zxwj/	最新文件	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zcwjk/	政策文件库	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfgzbg/	政府工作报告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/	公示公告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ghxx/	规划信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/rsxx/	人事信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/	统计信息	link	yes	yes
a	https://data.fujian.gov.cn/#/oportal/index	数据开放	link	no	no
a	https://www.pingtan.gov.cn/zwgk/zdlyxxgk/	重点领域信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/	专题专栏	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/zcjd/	平潭政策解读	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/xwfbh/	新闻发布会	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/hygq/	回应关切	link	yes	no
a	https://zwfw.fujian.gov.cn/indexMain?type=1&siteUnid=EC4BF9378FEEB8761D62BEDFF8EDE105	福建网上办事大厅	link	no	no
a	https://xzfwzx.pingtan.gov.cn/indexPage?loginflag=false	平潭行政服务中心	link	yes	no
a	https://www.fujian.gov.cn/bsfw/mztapp/	闽政通APP	link	no	no
a	https://www.pingtan.gov.cn/zjpt/cypt/	畅游平潭	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/ztfw/zwdt/	政务地图	link	yes	no
a	https://12345.pingtan.gov.cn/	12345便民惠企服务平台	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/zxft/	在线访谈	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/wsdc/	网上调查	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/myzj/	民意征集	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/hdjlzsk/	互动交流知识库	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/	平潭要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202403/share.sina	微博	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202403/share.qzone	QQ空间	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/ptyw/202403/el.url		link	yes	yes
a	http://www.fj.gov.cn/	福建省人民政府	link	no	no
a	https://www.fuzhou.gov.cn/	福州市政府网站	link	no	no
a	http://www.xm.gov.cn/	厦门市政府网站	link	no	no
a	http://www.quanzhou.gov.cn/	泉州市政府网站	link	no	no
a	http://www.zhangzhou.gov.cn/	漳州市政府网站	link	no	no
a	https://www.putian.gov.cn/	莆田市政府网站	link	no	no
a	https://www.sm.gov.cn/	三明市政府网站	link	no	no
a	https://www.np.gov.cn/	南平市政府网站	link	no	no
a	http://www.longyan.gov.cn/	龙岩市政府网站	link	no	no
a	http://www.ningde.gov.cn/	宁德市政府网站	link	no	no
a	http://www.people.com.cn/	人民网	link	no	no
a	http://www.xinhuanet.com/	新华网	link	no	no
a	https://www.chinanews.com.cn/	中国新闻网	link	no	no
a	https://www.cctv.com/	央视国际	link	no	no
a	https://www.ptnet.cn/	平潭网	link	no	no
a	http://fjptq.wenming.cn/	平潭文明网	link	no	no
a	http://www.acas.org.cnx7a72967c73868.ipv6best.cn/	海峡两岸仲裁中心	link	no	no
a	http://fujian.chinatax.gov.cn/pingtanswj/	国家税务总局平潭综合实验区税务局	link	no	no
a	http://pt.fjbz.org.cnx1e49967c73868.ipv6best.cn:8060/	福建省标准信息服务平台	link	no	no
a	http://paper.people.com.cn/rmrb/html/2023-11/02/nbs.D110000renmrb_01.htm	人民日报	link	no	no
a	https://fjrb-fjdaily-comx2d93967c73868xx.ipv6best.cn/pc/col/202311/02/node_01.html	福建日报	link	no	no
a	http://www.zznews.cn/	闽南日报	link	no	no
a	https://mbrb.greatwuyi.com/202311/02/node_1.html	闽北日报	link	no	no
a	http://www.mxrb.cn/	闽西日报	link	no	no
a	http://www.ndwww.cn/	闽东日报	link	no	no
a	https://www.qzwb.com/	泉州晚报	link	no	no
a	http://smrb.smnet.com.cn/pc/layout/202311/02/node_1.html	三明日报	link	no	no
a	http://www.taihainet.com/	海峡导报	link	no	no
a	http://fj.sina.com.cn/	新浪福建	link	no	no
a	https://www.163.com/	网易	link	no	no
a	https://www.sohu.com/	搜狐	link	no	no
a	https://www.creditchina.gov.cn/	信用中国	link	no	no
a	https://xy.fujian.gov.cn/#/home	信用福建	link	no	no
a	https://27-151-80-61xe076967c73868xx.ipv6best.cn:91/#/double-publicity-info	信用平潭	link	no	no
a	https://credit-xm-gov-cnxd4a4967c73868xx.ipv6best.cn/	信用厦门	link	no	no
a	http://www.szzg.gov.cn/	数字中国建设峰会	link	no	no
a	http://www.hxrc.com/	中国海峡人才市场	link	no	no
a	https://www.pingtan.gov.cn/zwzdb/sybz/	使用帮助	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/lxwm/	联系我们	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/ysbh/	隐私保护	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/xmtjz/	新媒体矩阵	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/gywm/	关于我们	link	yes	no
a	https://www-beian-gov-cnx45c8967c73868xx.ipv6best.cn/portal/registerSystemInfo?recordcode=35012899001-19002	公安备案号：35012899001-19002	link	no	no
a	https://beian.miit.gov.cn/	闽ICP备09032658号	link	no	no
a	https://bszs-conac-cnxe103967c73868xx.ipv6best.cn/sitename?method=show&amp;id=21E2BB13660E0D66E053012819ACFD9D		link	no	no
img	https://www.pingtan.gov.cn/images/gh_logo.png		image	yes	no
img	https://www.pingtan.gov.cn/images/site_logo.png		image	yes	no
img	https://www.pingtan.gov.cn/images/20xmszf_mzt_ewm.png		image	yes	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_b6aaeed1-dea6-4f55-b695-06249cd2158a.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_d90f2323-6b01-482e-aee2-1e9543656fd3.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_5621ee95-558b-46e3-bb24-90f0b599b6a3.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_15aca978-8630-4835-b462-cdb5b66143e6.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_ba989e2f-c614-48ff-a9b1-7e89d5720cc5.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_d935a8ba-c832-4f02-b260-7f725c8a3865.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_6d0321fc-656d-4afc-bad9-bbe6f6a17370.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_5611c6cb-a689-464a-93f5-1c19e825bd6b.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_9d1ba3d2-d2f4-4e40-bdb5-ceed4063b9e7.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_75064ff2-1eb8-4941-9365-793057571138.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_8e190f8c-7c69-471c-b719-6671272dccbe.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_9138ccab-906f-489f-b721-2e40fc7e5e02.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_c9462c35-b998-4321-9b71-b3bb0d1c6720.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_8537c1fd-1e21-4702-a671-7e42e5f8a8a6.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_32cfaa2a-4d65-4241-975f-87123dc2e00e.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_8b078ed9-ae06-44ba-a2f5-bf9812e534e6.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_b1d263f6-a840-44da-8198-5d3e7919f6b7.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_b607e057-fcd7-405e-aee6-151129f1778f.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_a9108147-8d31-4451-9129-b076234d3ef9.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_609ce14a-c8c6-4a72-81a8-58ce06ff9666.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_12354cb5-b72a-4dea-baba-8e06821be072.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_5f9b898a-b26b-4a27-8797-222cfc9a9711.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_c46861d7-8ce0-4f0a-9908-221dae5f3873.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_c60c4de2-53e8-4696-baeb-93b79d157fe7.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_59513267-015e-4662-9cd8-0ec340f96830.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_2b18e7d5-229d-4a51-9fda-fc7615eca457.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_5e9e02d1-dab1-4e19-9935-26a19a03660a.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_e85f65c3-7cfc-466b-a564-01ae8d40792f.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_0f07cc3b-7276-4394-a38d-acf780260c25.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_47d5eeb4-100b-4031-acfe-57fa785205ab.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_de8ea90c-de4c-4a49-967d-e5924b7387ad.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_eff11383-06d1-4434-9fa8-24a581f2dd94.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_e58cb30d-a4fc-488c-acac-83df8d8a8912.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_c7277f29-b407-4c02-8577-3ff2f68ea862.jpg	图片	image	no	no
img	https://www.ptnet.cn/pic/2024-03/04/2072144_ceadd9c9-9618-4bd2-8761-207d362508f2.jpg	图片	image	no	no
img	https://www.pingtan.gov.cn/images/babs.png		image	yes	no
img	https://www.pingtan.gov.cn/images/20231118ptfb.jpg	平潭发布	image	yes	no
img	https://www.pingtan.gov.cn/images/20231118ptt.png	平潭通	image	yes	no
img	https://www.pingtan.gov.cn/images/foot-icon4.png		image	yes	no
img	https://www.pingtan.gov.cn/images/foot-icon4-a.png	平潭文旅	image	yes	no
img	https://www.pingtan.gov.cn/images/20231119ptVly.jpg		image	yes	no
img	https://www.pingtan.gov.cn/images/red.png	党政机关	image	yes	no
img	https://www.pingtan.gov.cn/images/img11.png		image	yes	no
