type	href	text	kind	samehost	inscope
a	https://www.pingtan.gov.cn/		link	yes	no
a	https://www.gov.cn/	国务院	link	no	no
a	https://www.fujian.gov.cn/	省政府	link	no	no
a	https://www.fjrd.gov.cn/	省人大	link	no	no
a	http://www.fjzx.gov.cn/	省政协	link	no	no
a	https://www.pingtan.gov.cn/uc/indexs/index	你好，	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/yw/szywn/202401/logoutUrl	注销	link	yes	yes
a	https://www.pingtan.gov.cn/	首页	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/	政务公开	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/	解读回应	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/	办事服务	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/	互动交流	link	yes	no
a	https://www.pingtan.gov.cn/zjpt/	走进平潭	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/zfxxgk/	政府信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ldzc/	领导之窗	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zzjg/	政府机构	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/	要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfhy/	政府会议	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zxwj/	最新文件	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zcwjk/	政策文件库	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfgzbg/	政府工作报告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/	公示公告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ghxx/	规划信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/rsxx/	人事信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/	统计信息	link	yes	yes
a	https://data.fujian.gov.cn/#/oportal/index	数据开放	link	no	no
a	https://www.pingtan.gov.cn/zwgk/zdlyxxgk/	重点领域信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/	专题专栏	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/zcjd/	平潭政策解读	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/xwfbh/	新闻发布会	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/hygq/	回应关切	link	yes	no
a	https://zwfw.fujian.gov.cn/indexMain?type=1&siteUnid=EC4BF9378FEEB8761D62BEDFF8EDE105	福建网上办事大厅	link	no	no
a	https://xzfwzx.pingtan.gov.cn/indexPage?loginflag=false	平潭行政服务中心	link	yes	no
a	https://www.fujian.gov.cn/bsfw/mztapp/	闽政通APP	link	no	no
a	https://www.pingtan.gov.cn/zjpt/cypt/	畅游平潭	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/ztfw/zwdt/	政务地图	link	yes	no
a	https://12345.pingtan.gov.cn/	12345便民惠企服务平台	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/zxft/	在线访谈	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/wsdc/	网上调查	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/myzj/	民意征集	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/hdjlzsk/	互动交流知识库	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/yw/szywn/	时政要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/szywn/202401/share.sina	微博	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/szywn/202401/share.qzone	QQ空间	link	yes	yes
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/173c447e1129493b8fbb01c73c9ab0f4.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/10bc065ee6094ccc87829b8883c9959e.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/b74ff59baed1464aab7fcf457f46c5c5.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/5e76c18ce96c44a9bbe2996fcc9a3531.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/b8df73885c0b485f948e90a379d18888.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/53844b2c46474ec3a58c017e756bddd2.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/4cca1ffbbefe42539bcf17d28d0e5be4.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/b5ab72cca2764a4bb3d555c2c2a824dc.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/1f0a176eaaf2497886b8e492647927a2.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/b98e8348b1db49d09523fe52fe302504.jpg		image	no	no
a	https://img--xhpfm-xinhuaxmt-comxce85967ca3868xx.ipv6best.cn/News/202401/b0cc0e71a8a3475d845101fc6831790c.jpg		image	no	no
a	https://www.pingtan.gov.cn/zwgk/yw/szywn/202401/el.url		link	yes	yes
a	http://www.fj.gov.cn/	福建省人民政府	link	no	no
a	https://www.fuzhou.gov.cn/	福州市政府网站	link	no	no
a	http://www.xm.gov.cn/	厦门市政府网站	link	no	no
a	http://www.quanzhou.gov.cn/	泉州市政府网站	link	no	no
a	http://www.zhangzhou.gov.cn/	漳州市政府网站	link	no	no
a	https://www.putian.gov.cn/	莆田市政府网站	link	no	no
a	https://www.sm.gov.cn/	三明市政府网站	link	no	no
a	https://www.np.gov.cn/	南平市政府网站	link	no	no
a	http://www.longyan.gov.cn/	龙岩市政府网站	link	no	no
a	http://www.ningde.gov.cn/	宁德市政府网站	link	no	no
a	http://www.people.com.cn/	人民网	link	no	no
a	http://www.xinhuanet.com/	新华网	link	no	no
a	https://www.chinanews.com.cn/	中国新闻网	link	no	no
a	https://www.cctv.com/	央视国际	link	no	no
a	https://www.ptnet.cn/	平潭网	link	no	no
a	http://fjptq.wenming.cn/	平潭文明网	link	no	no
a	http://www.acas.org.cnx7a72967ca3868.ipv6best.cn/	海峡两岸仲裁中心	link	no	no
a	http://fujian.chinatax.gov.cn/pingtanswj/	国家税务总局平潭综合实验区税务局	link	no	no
a	http://pt.fjbz.org.cnx1e49967ca3868.ipv6best.cn:8060/	福建省标准信息服务平台	link	no	no
a	http://paper.people.com.cn/rmrb/html/2023-11/02/nbs.D110000renmrb_01.htm	人民日报	link	no	no
a	https://fjrb-fjdaily-comx2d93967ca3868xx.ipv6best.cn/pc/col/202311/02/node_01.html	福建日报	link	no	no
a	http://www.zznews.cn/	闽南日报	link	no	no
a	https://mbrb.greatwuyi.com/202311/02/node_1.html	闽北日报	link	no	no
a	http://www.mxrb.cn/	闽西日报	link	no	no
a	http://www.ndwww.cn/	闽东日报	link	no	no
a	https://www.qzwb.com/	泉州晚报	link	no	no
a	http://smrb.smnet.com.cn/pc/layout/202311/02/node_1.html	三明日报	link	no	no
a	http://www.taihainet.com/	海峡导报	link	no	no
a	http://fj.sina.com.cn/	新浪福建	link	no	no
a	https://www.163.com/	网易	link	no	no
a	https://www.sohu.com/	搜狐	link	no	no
a	https://www.creditchina.gov.cn/	信用中国	link	no	no
a	https://xy.fujian.gov.cn/#/home	信用福建	link	no	no
a	https://27-151-80-61xe076967ca3868xx.ipv6best.cn:91/#/double-publicity-info	信用平潭	link	no	no
a	https://credit-xm-gov-cnxd4a4967ca3868xx.ipv6best.cn/	信用厦门	link	no	no
a	http://www.szzg.gov.cn/	数字中国建设峰会	link	no	no
a	http://www.hxrc.com/	中国海峡人才市场	link	no	no
a	https://www.pingtan.gov.cn/zwzdb/sybz/	使用帮助	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/lxwm/	联系我们	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/ysbh/	隐私保护	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/xmtjz/	新媒体矩阵	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/gywm/	关于我们	link	yes	no
a	https://www-beian-gov-cnx45c8967ca3868xx.ipv6best.cn/portal/registerSystemInfo?recordcode=35012899001-19002	公安备案号：35012899001-19002	link	no	no
a	https://beian.miit.gov.cn/	闽ICP备09032658号	link	no	no
a	https://bszs-conac-cnxe103967ca3868xx.ipv6best.cn/sitename?method=show&amp;id=21E2BB13660E0D66E053012819ACFD9D		link	no	no
img	https://www.pingtan.gov.cn/images/gh_logo.png		image	yes	no
img	https://www.pingtan.gov.cn/images/site_logo.png		image	yes	no
img	https://www.pingtan.gov.cn/images/20xmszf_mzt_ewm.png		image	yes	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_f83fb654-ec3d-44a4-92ea-e7a06c67158c.png		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_ff3d70d3-352b-4740-b64c-8db20fc50a02.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_76155ccf-8750-4821-b087-b27a9929cc4e.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_dc07ba46-bfa9-46e2-80da-459bd216f9b9.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_01b0c271-3121-4645-9409-c1229a03475b.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_5b5f3aa9-2dcc-47c6-9c82-cc98c38191b1.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_1fd908e3-b2db-4cce-ada5-7d4dff96ac31.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_611edcc7-7233-489b-b041-652135c3e906.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_0354fdef-f2fb-46f2-91cd-c6fa21bb3eec.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_9d6e713b-4018-4e65-8b76-9787c925d669.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_ed389b93-74a7-4c34-a45d-40d2c4a7cca0.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_5f307cbf-b313-4956-81ff-e70bc7879ab8.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_45b4a97c-c2e0-4c64-8623-5ba306a5bb1e.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_c6055baa-a4bc-4694-805e-fd9b82f378b3.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_dda93122-1061-4df2-a96a-38496c82237f.jpg		image	no	no
img	https://www.ptnet.cn/pic/2024-01/29/2070080_2c31fced-24e3-4f8c-a002-9f5b38c357a0.jpg		image	no	no
img	https://www.pingtan.gov.cn/images/babs.png		image	yes	no
img	https://www.pingtan.gov.cn/images/20231118ptfb.jpg	平潭发布	image	yes	no
img	https://www.pingtan.gov.cn/images/20231118ptt.png	平潭通	image	yes	no
img	https://www.pingtan.gov.cn/images/foot-icon4.png		image	yes	no
img	https://www.pingtan.gov.cn/images/foot-icon4-a.png	平潭文旅	image	yes	no
img	https://www.pingtan.gov.cn/images/20231119ptVly.jpg		image	yes	no
img	https://www.pingtan.gov.cn/images/red.png	党政机关	image	yes	no
img	https://www.pingtan.gov.cn/images/img11.png		image	yes	no
