type	href	text	kind	samehost	inscope
a	https://www.pingtan.gov.cn/		link	yes	no
a	https://www.gov.cn/	国务院	link	no	no
a	https://www.fujian.gov.cn/	省政府	link	no	no
a	https://www.fjrd.gov.cn/	省人大	link	no	no
a	http://www.fjzx.gov.cn/	省政协	link	no	no
a	https://www.pingtan.gov.cn/uc/indexs/index	你好，	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/ztzl/jczwgkbzhgfh/qzbm/jz/jzjz/202211/logoutUrl	注销	link	yes	yes
a	https://www.pingtan.gov.cn/	首页	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/	政务公开	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/	解读回应	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/	办事服务	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/	互动交流	link	yes	no
a	https://www.pingtan.gov.cn/zjpt/	走进平潭	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/zfxxgk/	政府信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ldzc/	领导之窗	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zzjg/	政府机构	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/	要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfhy/	政府会议	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zxwj/	最新文件	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zcwjk/	政策文件库	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfgzbg/	政府工作报告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/	公示公告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ghxx/	规划信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/rsxx/	人事信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/	统计信息	link	yes	yes
a	https://data.fujian.gov.cn/#/oportal/index	数据开放	link	no	no
a	https://www.pingtan.gov.cn/zwgk/zdlyxxgk/	重点领域信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/	专题专栏	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/zcjd/	平潭政策解读	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/xwfbh/	新闻发布会	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/hygq/	回应关切	link	yes	no
a	https://zwfw.fujian.gov.cn/indexMain?type=1&siteUnid=EC4BF9378FEEB8761D62BEDFF8EDE105	福建网上办事大厅	link	no	no
a	https://xzfwzx.pingtan.gov.cn/indexPage?loginflag=false	平潭行政服务中心	link	yes	no
a	https://www.fujian.gov.cn/bsfw/mztapp/	闽政通APP	link	no	no
a	https://www.pingtan.gov.cn/zjpt/cypt/	畅游平潭	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/ztfw/zwdt/	政务地图	link	yes	no
a	https://12345.pingtan.gov.cn/	12345便民惠企服务平台	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/zxft/	在线访谈	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/wsdc/	网上调查	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/myzj/	民意征集	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/hdjlzsk/	互动交流知识库	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/ztzl/jczwgkbzhgfh/	基层政务公开标准化规范化	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/jczwgkbzhgfh/qzbm/	区直部门	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/jczwgkbzhgfh/qzbm/jz/	救灾	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/jczwgkbzhgfh/qzbm/jz/jzjz/	救灾减灾	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/jczwgkbzhgfh/qzbm/jz/jzjz/202211/share.sina	微博	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/jczwgkbzhgfh/qzbm/jz/jzjz/202211/share.qzone	QQ空间	link	yes	yes
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc8951	1 总则	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc27567	1.1 &nbsp;指导思想	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc2383	1.2 &nbsp;编制依据	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc18185	1.3 &nbsp;适用范围	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc4151	1.4 &nbsp;工作原则	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc6920	1.5 &nbsp;灾害分级	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc16182	2 主要任务	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc23993	2.1 &nbsp;组织灭火行动	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc5692	2.2 &nbsp;解救疏散人员	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc20732	2.3 &nbsp;保护重要目标	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc21141	2.4 &nbsp;转移重要物资	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc23601	2.5 &nbsp;维护社会稳定	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc26710	3 组织指挥体系	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc3177	3.1 森林防灭火指挥机构	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc15452	3.2 指挥单位任务分工	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc14066	3.3 &nbsp;扑救指挥	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc19217	3.4 专家组	file	no	no
a	file:///C:/Users/Administrator/Desktop/%E5%B9%B3%E6%BD%AD%E7%BB%BC%E5%90%88%E5%AE%9E%E9%AA%8C%E5%8C%BA%E6%A3%AE%E6%9E%97%E9%98%B2%E7%81%AD%E7%81%AB%E5%BA%94%E6%80%A5%E9%A2%84%E6%A1%88(%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF).wps#_Toc22907	4 处置力量	file	no	no
