type	href	text	kind	samehost	inscope
a	https://www.pingtan.gov.cn/		link	yes	no
a	https://www.gov.cn/	国务院	link	no	no
a	https://www.fujian.gov.cn/	省政府	link	no	no
a	https://www.fjrd.gov.cn/	省人大	link	no	no
a	http://www.fjzx.gov.cn/	省政协	link	no	no
a	https://www.pingtan.gov.cn/uc/indexs/index	你好，	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/ztzl/jtyjs/gzdthxxgs/202005/logoutUrl	注销	link	yes	yes
a	https://www.pingtan.gov.cn/	首页	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/	政务公开	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/	解读回应	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/	办事服务	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/	互动交流	link	yes	no
a	https://www.pingtan.gov.cn/zjpt/	走进平潭	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/zfxxgk/	政府信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ldzc/	领导之窗	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zzjg/	政府机构	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/yw/	要闻	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfhy/	政府会议	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zxwj/	最新文件	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zcwjk/	政策文件库	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/zfgzbg/	政府工作报告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/gsgg/	公示公告	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ghxx/	规划信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/rsxx/	人事信息	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/tjxx/	统计信息	link	yes	yes
a	https://data.fujian.gov.cn/#/oportal/index	数据开放	link	no	no
a	https://www.pingtan.gov.cn/zwgk/zdlyxxgk/	重点领域信息公开	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/	专题专栏	link	yes	yes
a	https://www.pingtan.gov.cn/jdhy/zcjd/	平潭政策解读	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/xwfbh/	新闻发布会	link	yes	no
a	https://www.pingtan.gov.cn/jdhy/hygq/	回应关切	link	yes	no
a	https://zwfw.fujian.gov.cn/indexMain?type=1&siteUnid=EC4BF9378FEEB8761D62BEDFF8EDE105	福建网上办事大厅	link	no	no
a	https://xzfwzx.pingtan.gov.cn/indexPage?loginflag=false	平潭行政服务中心	link	yes	no
a	https://www.fujian.gov.cn/bsfw/mztapp/	闽政通APP	link	no	no
a	https://www.pingtan.gov.cn/zjpt/cypt/	畅游平潭	link	yes	no
a	https://www.pingtan.gov.cn/bsfw/ztfw/zwdt/	政务地图	link	yes	no
a	https://12345.pingtan.gov.cn/	12345便民惠企服务平台	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/zxft/	在线访谈	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/wsdc/	网上调查	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/myzj/	民意征集	link	yes	no
a	https://www.pingtan.gov.cn/hdjl/hdjlzsk/	互动交流知识库	link	yes	no
a	https://www.pingtan.gov.cn/zwgk/ztzl/jtyjs/	交通与建设	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/jtyjs/gzdthxxgs/	工作动态和信息公示	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/jtyjs/gzdthxxgs/202005/share.sina	微博	link	yes	yes
a	https://www.pingtan.gov.cn/zwgk/ztzl/jtyjs/gzdthxxgs/202005/share.qzone	QQ空间	link	yes	yes
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161020996.pdf	安徽省医药设计院.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161033548.pdf	北京华巨建筑规划设计院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161042339.pdf	北京蓝图工程设计有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161106121.pdf	北京中建建筑设计院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161122473.pdf	成都有巢工程勘察设计有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161138959.pdf	航天建筑设计研究院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161203172.pdf	河北省第四建筑工程有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161222876.pdf	核工业江西工程勘察研究总院.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161618417.pdf	核工业西南勘察设计研究院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161652338.pdf	湖南化工设计院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161805253.pdf	江苏省科佳工程设计有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161820758.pdf	江苏省岩土工程勘察设计研究院.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161833341.pdf	江西省勘察设计研究院.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161849351.pdf	林同棪国际工程咨询（中国）有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161858201.pdf	陕西长嘉建设工程有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161911564.pdf	上海天夏景观规划设计有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161926215.pdf	上海中福建筑设计院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161941632.pdf	深圳市建设综合勘察设计院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520161959707.pdf	深圳市市政设计研究院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162016920.pdf	天津市市政工程设计研究院.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162033762.pdf	同济大学建筑设计研究院（集团）有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162047490.pdf	信息产业部电子综合勘察研究院.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162122313.pdf	长春建工勘测规划设计有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162134754.pdf	中国城市建设研究院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162144911.pdf	中国电建集团华东勘测设计研究院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162240272.pdf	中国联合工程有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162250766.pdf	中国能源建设集团浙江省电力设计院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162307671.pdf	中国市政工程华北设计研究总院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162319535.pdf	中国市政工程中南设计研究总院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162330513.pdf	中国有色金属长沙勘察设计研究院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162342109.pdf	中交上海航道勘察设计研究院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162356911.pdf	中联西北工程设计研究院有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162408852.pdf	中山市水利水电勘测设计咨询有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162419280.pdf	中水淮河规划设计研究有限公司.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2020/05/20/20200520162429574.pdf	珠海市建筑设计院.pdf	file	yes	no
a	https://www.pingtan.gov.cn/ptwzq/ewebeditor/uploadfile/2022/05/05/20220505160915538.pdf	烟台市建筑设计研究股份有限公司(福州市、厦门市、莆田市、三明市、泉州市、漳州市、南平市、龙岩市、宁德市、平潭综合实验区).pdf	file	yes	no
a	https://www.pingtan.gov.cn/zwgk/ztzl/jtyjs/gzdthxxgs/202005/el.url		link	yes	yes
a	http://www.fj.gov.cn/	福建省人民政府	link	no	no
a	https://www.fuzhou.gov.cn/	福州市政府网站	link	no	no
a	http://www.xm.gov.cn/	厦门市政府网站	link	no	no
a	http://www.quanzhou.gov.cn/	泉州市政府网站	link	no	no
a	http://www.zhangzhou.gov.cn/	漳州市政府网站	link	no	no
a	https://www.putian.gov.cn/	莆田市政府网站	link	no	no
a	https://www.sm.gov.cn/	三明市政府网站	link	no	no
a	https://www.np.gov.cn/	南平市政府网站	link	no	no
a	http://www.longyan.gov.cn/	龙岩市政府网站	link	no	no
a	http://www.ningde.gov.cn/	宁德市政府网站	link	no	no
a	http://www.people.com.cn/	人民网	link	no	no
a	http://www.xinhuanet.com/	新华网	link	no	no
a	https://www.chinanews.com.cn/	中国新闻网	link	no	no
a	https://www.cctv.com/	央视国际	link	no	no
a	https://www.ptnet.cn/	平潭网	link	no	no
a	http://fjptq.wenming.cn/	平潭文明网	link	no	no
a	http://www.acas.org.cnx7a72968023868.ipv6best.cn/	海峡两岸仲裁中心	link	no	no
a	http://fujian.chinatax.gov.cn/pingtanswj/	国家税务总局平潭综合实验区税务局	link	no	no
a	http://pt.fjbz.org.cnx1e49968023868.ipv6best.cn:8060/	福建省标准信息服务平台	link	no	no
a	http://paper.people.com.cn/rmrb/html/2023-11/02/nbs.D110000renmrb_01.htm	人民日报	link	no	no
a	https://fjrb-fjdaily-comx2d93968023868xx.ipv6best.cn/pc/col/202311/02/node_01.html	福建日报	link	no	no
a	http://www.zznews.cn/	闽南日报	link	no	no
a	https://mbrb.greatwuyi.com/202311/02/node_1.html	闽北日报	link	no	no
a	http://www.mxrb.cn/	闽西日报	link	no	no
a	http://www.ndwww.cn/	闽东日报	link	no	no
a	https://www.qzwb.com/	泉州晚报	link	no	no
a	http://smrb.smnet.com.cn/pc/layout/202311/02/node_1.html	三明日报	link	no	no
a	http://www.taihainet.com/	海峡导报	link	no	no
a	http://fj.sina.com.cn/	新浪福建	link	no	no
a	https://www.163.com/	网易	link	no	no
a	https://www.sohu.com/	搜狐	link	no	no
a	https://www.creditchina.gov.cn/	信用中国	link	no	no
a	https://xy.fujian.gov.cn/#/home	信用福建	link	no	no
a	https://27-151-80-61xe076968023868xx.ipv6best.cn:91/#/double-publicity-info	信用平潭	link	no	no
a	https://credit-xm-gov-cnxd4a4968023868xx.ipv6best.cn/	信用厦门	link	no	no
a	http://www.szzg.gov.cn/	数字中国建设峰会	link	no	no
a	http://www.hxrc.com/	中国海峡人才市场	link	no	no
a	https://www.pingtan.gov.cn/zwzdb/sybz/	使用帮助	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/lxwm/	联系我们	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/ysbh/	隐私保护	link	yes	no
a	https://www.pingtan.gov.cn/zwzdb/xmtjz/	新媒体矩阵	link	yes	no
